Київ-Пасажирський;Харків-Пас;22:23;6:46;064 К
Київ-Пасажирський;Севастополь;17:57;9:33;028 К
Львів;Київ-Пасажирський;21:45;10:35;142 Ш
Маріуполь;Львів;10:33;13:21;070 Д
Київ-Пасажирський;Донецьк;20:05;8:04;038 К
Львів;Одеса-Головна;20:23;8:37;026 Л
Івано-Франківськ;Київ-Пасажирський;0:50;8:46;043 Л
Київ-Пасажирський;Запоріжжя 1;20:36;7:00;072 К
Харків-Пас;Київ-Пасажирський;6:56;11:37;161 О(Інтерсіті+)
Одеса-Головна;Київ-Пасажирський;1:03;9:24;010 К
